Metric,Pearson,Spearman
avg_blockiness,-0.15595731807834876,-0.11633782917343347
max_blockiness,-0.15896904350500246,-0.09338970185988275
min_blockiness,-0.09960581156184219,-0.13495193653535636
avg_blur,0.11660849170877435,0.12415636685161574
max_blur,0.07616583871109976,0.07423928988286023
min_blur,0.13346466966609213,0.16801719267303836
avg_contrast,-0.13515761771274074,-0.14828401730764065
max_contrast,-0.1735248718372272,-0.2672632584647352
min_contrast,-0.03293554413837671,-0.03435171873773281
avg_color,-0.04942877214355271,-0.050349569804540376
max_color,-0.13332096641257396,-0.1026675573881895
min_color,0.039137166075319814,0.062448025247347994
avg_ltp,-0.06051189730519891,0.017491159972817635
max_ltp,-0.14298304312336801,-0.03885025095222447
min_ltp,0.07450754475820923,0.06275709025850122
avg_noise,0.13793627263738262,0.19431901869159438
max_noise,0.07941484124671021,0.07393332732530146
min_noise,0.23975045113592203,0.21062374388548932
avg_brisque,-0.29226322785177516,-0.3629509757623924
max_brisque,-0.3808652251796745,-0.46600140593875916
min_brisque,-0.1632518988998513,-0.17044727474675697
avg_flickering_agh,-0.21136893276359592,-0.21929800165742627
avg_blockiness_agh,0.13643955073045186,0.10294345855049275
avg_letterBox_agh,nan,nan
avg_pillarBox_agh,0.012837224723320042,0.01721257653522358
avg_blockloss_agh,-0.3723576457447514,-0.4281896766612657
avg_blur_agh,-0.2614525855564775,-0.16842702580156144
avg_blackout_agh,nan,nan
avg_freezing_agh,-0.052713383922488005,-0.013862811457867406
avg_exposure_agh,-0.003104195972060307,-0.07530626773050511
avg_contrast_agh,0.31094710536693687,0.2877411453270555
avg_interlace_agh,-0.09593954154365217,-0.004866332930491721
avg_noise_agh,0.07263267327393644,0.07077725848864219
avg_si_agh,0.11255140805250727,0.10595247693530369
avg_ti_agh,0.15127971393650033,0.14099545808809696
