video,bitrate,framerate,resolution,,bitrate,framerate,resolution
1Runner_1_p1_2160_30fps_a.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p1_2160_30fps_c.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p1_2160_30fps_d.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p1_2160_30fps_f.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p1_2160_30fps_i.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p1_2160_30fps_j.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p1_2160_30fps_o.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_a.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_c.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_d.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_f.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_i.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_j.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner_1_p2_2160_30fps_o.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_a.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_c.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_d.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_f.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_i.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_j.yuv,2985984000,30,8294400,,1,1,#DIV/0!
1Runner__2160_30fps_o.yuv,2985984000,30,8294400,,1,1,#DIV/0!
2Runners__2160_30fps_a.yuv,2985984000,30,8294400,,1,1,#DIV/0!
2Runners__2160_30fps_c.yuv,2985984000,30,8294400,,1,1,#DIV/0!
2Runners__2160_30fps_d.yuv,2985984000,30,8294400,,1,1,#DIV/0!
2Runners__2160_30fps_f.yuv,2985984000,30,8294400,,1,1,#DIV/0!
