video,avg_flickering,avg_blockiness,avg_letterBox,avg_pillarBox,avg_blockloss,avg_blur,avg_blackout,avg_freezing,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_slices,avg_si,avg_ti
1Runner_1_p1_2160_30fps_a.yuv,0.125,0.95912,0.0,0.0,1.51909,12.64523,0.0,0.0,117.07821,49.14834,0.0,1.58915,16.1377,0.1348877586914738,0.11078492231196002
1Runner_1_p1_2160_30fps_c.yuv,0.54049,0.85991,0.0,0.0,2.56941,8.22764,0.0,0.0,117.78771,48.60052,0.00464,0.42674,21.29441,0.14495051707558818,0.10483056531278703
1Runner_1_p1_2160_30fps_d.yuv,0.14773,0.91384,0.0,0.0,0.23897,5.46455,0.0,0.06704,115.93855,49.26892,0.00355,3.10704,15.78993,0.1626364456749673,0.10313629245253139
1Runner_1_p1_2160_30fps_f.yuv,0.38639,0.89922,0.0,0.0,0.93217,8.49337,0.0,0.0,116.98324,49.08545,0.00393,0.95739,16.88804,0.16066707373966127,0.11029411000683781
1Runner_1_p1_2160_30fps_i.yuv,0.125,0.97701,0.0,0.0,44.35019,5.97939,0.0,0.0,115.39326,49.30335,1.3572,3.5238,15.6324,0.15929853609615127,0.11330430088440166
1Runner_1_p1_2160_30fps_j.yuv,0.45536,0.97028,0.0,0.0,8.95264,5.66396,0.0,0.0,117.07143,49.27719,0.31993,3.15338,17.43747,0.1619170183245069,0.085014799326836
1Runner_1_p1_2160_30fps_o.yuv,0.125,0.97116,0.0,0.0,0.24851,5.58272,0.0,0.0,118.36872,49.30578,0.00633,2.97239,18.22974,0.16286742256344364,0.11278199589615034
1Runner_1_p2_2160_30fps_a.yuv,0.125,0.96432,0.0,0.0,0.95438,14.68475,0.0,0.0,117.94413,52.78777,0.0,1.4901,17.1652,0.14345414581496332,0.1363559421421821
1Runner_1_p2_2160_30fps_c.yuv,0.45951,0.86866,0.0,0.0,1.58813,9.64507,0.0,0.0,118.06145,52.33249,0.00533,0.52169,22.97874,0.16227665453050102,0.13337810816061502
1Runner_1_p2_2160_30fps_d.yuv,0.14205,0.88713,0.0,0.0,0.13212,6.31421,0.0,0.11732,115.24581,52.82487,0.00443,3.00488,15.20551,0.17176316240890716,0.11887675710725919
1Runner_1_p2_2160_30fps_f.yuv,0.2215,0.90524,0.0,0.0,0.46345,10.59378,0.0,0.0,117.4581,52.82084,0.0045,0.68706,18.98645,0.17498210787843235,0.13678494661572183
1Runner_1_p2_2160_30fps_i.yuv,0.125,0.98992,0.0,0.0,47.73844,6.76015,0.0,0.0,114.41011,52.93228,1.59194,3.3278,16.1379,0.16991178241072585,0.13854466871004392
1Runner_1_p2_2160_30fps_j.yuv,0.45536,0.9691,0.0,0.0,9.08296,6.355,0.0,0.0,117.39286,52.97022,0.36676,2.88786,17.91897,0.171772757245673,0.10267472606401426
1Runner_1_p2_2160_30fps_o.yuv,0.125,0.9715,0.0,0.0,0.12919,6.27112,0.0,0.0,119.03911,52.94066,0.00696,2.71935,18.78164,0.1723798149378068,0.13789687715364904
