video,avg_flickering,avg_blockiness,avg_letterBox,avg_pillarBox,avg_blockloss,avg_blur,avg_blackout,avg_freezing,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_slices,avg_si,avg_ti
1Runner_1_p1_2160_30fps_a.yuv,0.01562,0.00027,0,0,0.0076,0.18065,0,0,0.45913,0.40957,0,0.05297,16.1377,0.134887759,0.110784922
1Runner_1_p1_2160_30fps_c.yuv,0.06756,0.00024,0,0,0.01285,0.11754,0,0,0.46191,0.405,0.00464,0.01422,21.29441,0.144950517,0.104830565
1Runner_1_p1_2160_30fps_d.yuv,0.01847,0.00026,0,0,0.00119,0.07807,0,0.06704,0.45466,0.41057,0.00355,0.10357,15.78993,0.162636446,0.103136292
1Runner_1_p1_2160_30fps_f.yuv,0.0483,0.00025,0,0,0.00466,0.12133,0,0,0.45876,0.40905,0.00393,0.03191,16.88804,0.160667074,0.11029411
1Runner_1_p1_2160_30fps_i.yuv,0.01562,0.00027,0,0,0.22175,0.08542,0,0,0.45252,0.41086,1.3572,0.11746,15.6324,0.159298536,0.113304301
1Runner_1_p1_2160_30fps_j.yuv,0.05692,0.00027,0,0,0.04476,0.08091,0,0,0.4591,0.41064,0.31993,0.10511,17.43747,0.161917018,0.085014799
1Runner_1_p1_2160_30fps_o.yuv,0.01562,0.00027,0,0,0.00124,0.07975,0,0,0.46419,0.41088,0.00633,0.09908,18.22974,0.162867423,0.112781996
1Runner_1_p2_2160_30fps_a.yuv,0.01562,0.00027,0,0,0.00477,0.20978,0,0,0.46253,0.4399,0,0.04967,17.1652,0.143454146,0.136355942
1Runner_1_p2_2160_30fps_c.yuv,0.05744,0.00024,0,0,0.00794,0.13779,0,0,0.46299,0.4361,0.00533,0.01739,22.97874,0.162276655,0.133378108
1Runner_1_p2_2160_30fps_d.yuv,0.01776,0.00025,0,0,0.00066,0.0902,0,0.11732,0.45194,0.44021,0.00443,0.10016,15.20551,0.171763162,0.118876757
