video,avg_flickering,avg_blockiness,avg_letterBox,avg_pillarBox,avg_blockloss,avg_blur,avg_blackout,avg_freezing,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_slices,avg_si,avg_ti
netflixcrowdrun_1080_25fps_a.yuv,0.01562,0.00028,0.0,0.0,0.09122,0.1751,0.0,0.0,0.48246,0.48032,0.0,0.01578,1.63666,0.11291891436923554,0.09535879744359273
netflixcrowdrun_1080_25fps_c.yuv,0.07458,0.00026,0.0,0.0,0.03687,0.09023,0.0,0.0,0.48148,0.47352,0.00036,0.01373,2.69445,0.16387649320881195,0.08696254776417242
netflixcrowdrun_1080_25fps_d.yuv,0.01871,0.00026,0.0,0.0,0.00766,0.08749,0.0,0.02013,0.47211,0.48314,0.00011,0.06197,1.54905,0.1867580838546478,0.0951347096034894
netflixcrowdrun_1080_25fps_f.yuv,0.07491,0.00026,0.0,0.0,0.0171,0.09163,0.0,0.0,0.47872,0.47926,0.00017,0.0148,2.55468,0.18103796966949293,0.09638247323422354
netflixcrowdrun_1080_25fps_i.yuv,0.01562,0.00021,0.0,0.0,0.00015,0.09088,0.0,0.0,0.4779,0.47812,0.01597,0.06099,1.61256,0.27380603944975046,0.08944708804802108
netflixcrowdrun_1080_25fps_j.yuv,0.05692,0.00026,0.0,0.0,0.00645,0.09041,0.0,0.0,0.48209,0.48164,0.0032,0.05933,1.61636,0.20471865962222632,0.06950347361739032
netflixcrowdrun_1080_25fps_o.yuv,0.01562,0.00027,0.0,0.0,0.00801,0.09025,0.0,0.0,0.48204,0.48251,0.00012,0.05899,1.61618,0.18692917564863923,0.10000815978876279
ntbasketballp1_1080_25fps_a.yuv,0.01562,0.00028,0.0,0.0,0.09571,0.23047,0.0,0.0,0.42639,0.35121,1e-05,0.03082,2.461,0.072550145438665,0.08089016388998488
ntbasketballp1_1080_25fps_c.yuv,0.06189,0.00026,0.0,0.0,0.03053,0.14385,0.0,0.0,0.42961,0.34888,0.00012,0.01453,3.6928,0.10313826441648251,0.07772488216965388
ntbasketballp1_1080_25fps_d.yuv,0.01797,0.00023,0.0,0.0,0.00491,0.11075,0.0,0.07407,0.41908,0.35261,0.00064,0.07159,2.42394,0.11497322156118606,0.07435164453574646
ntbasketballp1_1080_25fps_f.yuv,0.06001,0.00026,0.0,0.0,0.02536,0.1435,0.0,0.0,0.42203,0.34795,0.00024,0.01522,3.356,0.10306918016880023,0.07942875939029799
ntbasketballp1_1080_25fps_i.yuv,0.01562,0.00016,0.0,0.0,0.00162,0.11218,0.0,0.0,0.42017,0.34567,0.01451,0.09001,2.32253,0.23060748433989073,0.07014332619076602
ntbasketballp1_1080_25fps_j.yuv,0.05625,0.00022,0.0,0.0,0.00479,0.11533,0.0,0.0,0.42808,0.35147,0.00384,0.07107,2.41231,0.13928284669824248,0.0562587832790636
ntbasketballp1_1080_25fps_o.yuv,0.01562,0.00024,0.0,0.0,0.00554,0.11663,0.0,0.0,0.4283,0.35261,0.00086,0.06395,2.45702,0.11527811771505485,0.08192051317696637
ntbasketballp2_1080_25fps_a.yuv,0.01562,0.00028,0.0,0.0,0.05833,0.21235,0.0,0.0,0.42563,0.33693,2e-05,0.03558,2.47089,0.07230485403987398,0.0708544622272581
ntbasketballp2_1080_25fps_c.yuv,0.04392,0.00027,0.0,0.0,0.01418,0.13313,0.0,0.0,0.42815,0.33724,9e-05,0.01638,3.27775,0.10687494433213508,0.07016717982333918
ntbasketballp2_1080_25fps_d.yuv,0.01637,0.00023,0.0,0.0,0.00463,0.11707,0.0,0.12069,0.41095,0.33615,0.0007,0.0769,2.37813,0.10635049987248367,0.06161485615960951
ntbasketballp2_1080_25fps_f.yuv,0.0453,0.00027,0.0,0.0,0.01505,0.13485,0.0,0.0,0.4224,0.33597,0.00012,0.01655,3.40706,0.10564653726755256,0.07004964606470018
ntbasketballp2_1080_25fps_i.yuv,0.01562,0.00017,0.0,0.0,0.00069,0.11889,0.0,0.0,0.41516,0.33294,0.01427,0.07701,2.39203,0.1974242928413091,0.06245229162318362
ntbasketballp2_1080_25fps_j.yuv,0.05615,0.00022,0.0,0.0,0.00432,0.12062,0.0,0.0,0.42652,0.33745,0.00371,0.06185,2.40141,0.1260268295077254,0.049651411414925115
ntbasketballp2_1080_25fps_o.yuv,0.01562,0.00024,0.0,0.0,0.00538,0.12133,0.0,0.0,0.42759,0.33819,0.00092,0.05788,2.41319,0.10694170092225609,0.07190847677600681
QuarterBackSneakp1_1080_30fps_a.yuv,0.01563,0.00028,0.0,0.0,0.12581,0.24991,0.0,0.0,0.49652,0.27418,1e-05,0.01442,4.40635,0.05874576529506082,0.08911445334999663
QuarterBackSneakp1_1080_30fps_c.yuv,0.01566,0.00025,0.0,0.0,0.03746,0.17821,0.0,0.0,0.50297,0.27508,3e-05,0.01668,4.54226,0.07318195015711737,0.09018231821153587
QuarterBackSneakp1_1080_30fps_d.yuv,0.01805,0.00024,0.0,0.0,0.02862,0.17028,0.0,0.01435,0.48295,0.27575,0.00046,0.03858,4.20651,0.07287411258135974,0.08807580182219647
QuarterBackSneakp1_1080_30fps_f.yuv,0.05153,0.00026,0.0,0.0,0.05282,0.17587,0.0,0.0,0.49583,0.27332,0.0001,0.01433,5.50304,0.07296821697261754,0.0890866946319711
