video,avg_flickering,avg_blockiness,avg_letterBox,avg_pillarBox,avg_blockloss,avg_blur,avg_blackout,avg_freezing,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_slices,avg_si,avg_ti
A001.mp4,0.02561,0.00028,0.0,0.0,0.01301,0.06214,0.0,0.0,0.50018,0.36189,0.00623,0.04554,134.39004,0.3143515937465873,0.08415833391322221
A002.mp4,0.05274,0.00027,0.0,0.0,0.00338,0.12228,0.0,0.0,0.48446,0.24254,0.00272,0.01391,2.56169,0.1597775852495005,0.08007413756769878
A003.mp4,0.04532,0.00026,0.0,0.0,0.00825,0.06942,0.0,0.0,0.49704,0.41336,0.00634,0.01562,24.48741,0.18655682237368365,0.07942785542647221
A004.mp4,0.06377,0.00028,0.0,0.0,0.00447,0.05083,0.0,0.0,0.47582,0.48721,0.005,0.04493,7.21689,0.32839991202825203,0.12061324662718789
A005.mp4,0.05225,0.00023,0.0,0.0,0.01725,0.11972,0.0,0.0,0.49518,0.37473,0.00408,0.02004,31.81331,0.1522825830324567,0.05299803536587682
A006.mp4,0.05052,0.00027,0.0,0.0,0.01395,0.05329,0.0,0.0,0.51878,0.40713,0.00533,0.01817,2.8233,0.2839737284453317,0.0391706399401789
A007.mp4,0.01789,0.00028,0.0,0.0,0.00163,0.09726,0.0,0.0,0.53373,0.34387,0.00073,0.18903,2.26204,0.16196735055628328,0.05967853534559873
A008.mp4,0.05019,0.00023,0.0,0.0,0.00185,0.09465,0.0,0.0,0.49767,0.46403,0.00136,0.0217,4.97462,0.18143816574609542,0.11504965675158103
A009.mp4,0.0311,0.00027,0.0,0.0,0.00066,0.04818,0.0,0.0,0.52459,0.45908,0.00646,0.01604,4.67008,0.2918419441937689,0.07733498258144617
A010.mp4,0.04375,0.00024,0.0,0.0,0.02001,0.09962,0.0,0.0,0.55914,0.30391,0.00147,0.01581,3.19482,0.08585383701338277,0.013910665044261614
A011.mp4,0.06262,0.00029,0.0,0.0,0.00887,0.04968,0.0,0.0,0.51382,0.50384,0.01247,0.01584,2.91839,0.3528099541563449,0.10237076975152647
A012.mp4,0.04054,0.00026,0.0,0.0,0.00955,0.09755,0.0,0.0,0.50907,0.38235,0.003,0.0241,2.69656,0.20775846961883257,0.10883788269649933
A013.mp4,0.08395,0.00024,0.0,0.0,0.00474,0.07189,0.0,0.0,0.50579,0.36551,0.00135,0.01171,1.15708,0.16218343040683622,0.018366332861892997
