video,avg_blockiness,max_blockiness,min_blockiness,avg_blur,max_blur,min_blur,avg_contrast,max_contrast,min_contrast,avg_color,max_color,min_color,avg_ltp,max_ltp,min_ltp,avg_noise,max_noise,min_noise,avg_brisque,max_brisque,min_brisque,avg_flicker,avg_flickering,avg_blockiness,avg_blockloss,avg_blur,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_si,avg_ti,mos
A001.mp4,0.808229167,0.9975,0.6475,0.830242633,0.923403428,0.596311319,0.332798477,0.341421892,0.323228919,0.257448144,0.291839011,0.203572844,0.132887274,0.13409505,0.1311335,0.895711447,1,0.830542995,0.423799554,0.565697163,0.360557646,0.005567697,0.02561,0.00028,0.01301,0.06214,0.50018,0.36189,0.00623,0.04554,0.314351594,0.084158334,80.232
A002.mp4,0.808509136,0.9975,0.5425,0.312204918,0.448163497,0.182844775,0.333050625,0.342064355,0.323156896,0.325287611,0.385277249,0.24084938,0.129911578,0.13225329,0.12733895,0.999759267,1,0.97550587,0.561990261,0.683951922,0.407955778,0.021067838,0.05274,0.00027,0.00338,0.12228,0.48446,0.24254,0.00272,0.01391,0.159777585,0.080074138,57.3005
A003.mp4,0.756883333,0.9975,0.56,0.644301068,0.802853646,0.539175716,0.332384964,0.344818642,0.319297196,0.307942628,0.346401031,0.268106241,0.133311715,0.13437397,0.13197197,0.985273327,1,0.894153891,0.51198263,0.557225118,0.469536646,0.011761965,0.04532,0.00026,0.00825,0.06942,0.49704,0.41336,0.00634,0.01562,0.186556822,0.079427855,78.1558
A004.mp4,0.833010033,0.99875,0.625,0.78800939,1,0.501299349,0.332779777,0.344059365,0.321420485,0.312908239,0.387419094,0.246056893,0.131438982,0.13453331,0.12878152,0.806017412,0.876453111,0.749157248,0.583218048,0.680044904,0.490191084,0.025655049,0.06377,0.00028,0.00447,0.05083,0.47582,0.48721,0.005,0.04493,0.328399912,0.120613247,59.3179
A005.mp4,0.337425249,0.75,0,0.601650914,0.783396538,0.350444662,0.332488607,0.346414015,0.318579343,0.23876436,0.258686706,0.220228786,0.131477794,0.13289885,0.12996882,0.987026641,1,0.858425778,0.602270365,0.655520534,0.493636273,0.044715985,0.05225,0.00023,0.01725,0.11972,0.49518,0.37473,0.00408,0.02004,0.152282583,0.052998035,47.1778
A006.mp4,0.030593854,0.215,0,0.69120486,0.789819462,0.608071148,0.332750499,0.342282701,0.323542041,0.331697485,0.348159578,0.313705682,0.132327501,0.13337891,0.13120785,0.872709172,0.967886086,0.844983769,0.483554572,0.51070559,0.410027798,0.021162648,0.05052,0.00027,0.01395,0.05329,0.51878,0.40713,0.00533,0.01817,0.283973728,0.03917064,84.6517
A007.mp4,0.758195833,0.99625,0,0.685304623,0.872099906,0.287936757,0.333068957,0.339849327,0.326430175,0.299605242,0.317459114,0.271275796,0.135016852,0.13578399,0.13420676,0.994634122,1,0.880916982,0.542863626,0.722190608,0.337455382,0.001153649,0.01789,0.00028,0.00163,0.09726,0.53373,0.34387,0.00073,0.18903,0.161967351,0.059678535,50.8675
A008.mp4,0.65255,0.9875,0,0.771605974,1,0.426408761,0.332845137,0.345224493,0.320544122,0.345526951,0.397832811,0.282367365,0.130295824,0.13352625,0.12550164,0.967645888,1,0.767166888,0.512243074,0.854550803,0.114912416,0.01398674,0.05019,0.00023,0.00185,0.09465,0.49767,0.46403,0.00136,0.0217,0.181438166,0.115049657,46.8902
A009.mp4,0.9219875,0.99875,0.62625,0.75665043,0.948369138,0.13463832,0.33290626,0.34173183,0.323669203,0.316399993,0.375487311,0.259189441,0.132587808,0.13449082,0.12702748,0.690306099,1,0.583151879,0.674785326,0.743618517,0.548621717,0.01154834,0.0311,0.00027,0.00066,0.04818,0.52459,0.45908,0.00646,0.01604,0.291841944,0.077334983,80.7925
A010.mp4,0.68961794,0.99375,0.37875,0.314742975,0.393429413,0.231496777,0.332713015,0.343100134,0.32225176,0.285159808,0.32095769,0.259868653,0.128798521,0.13025356,0.12720635,1,1,1,0.539175784,0.597607742,0.486268399,0.021621812,0.04375,0.00024,0.02001,0.09962,0.55914,0.30391,0.00147,0.01581,0.085853837,0.013910665,31.2785
