video,avg_blockiness,max_blockiness,min_blockiness,avg_blur,max_blur,min_blur,avg_contrast,max_contrast,min_contrast,avg_color,max_color,min_color,avg_ltp,max_ltp,min_ltp,avg_noise,max_noise,min_noise,avg_brisque,max_brisque,min_brisque,avg_flickering_agh,avg_blockiness_agh,avg_letterBox_agh,avg_pillarBox_agh,avg_blockloss_agh,avg_blur_agh,avg_blackout_agh,avg_freezing_agh,avg_exposure_agh,avg_contrast_agh,avg_interlace_agh,avg_noise_agh,avg_si_agh,avg_ti_agh,MOS
1Runner_1_p1_2160_30fps_a.yuv,0.904033333,0.99875,0.625,0.690819375,0.88302372,0.552834312,0.331426637,0.3325429,0.3293195,0.298458366,0.33468675,0.28889641,0.142406464,0.14332991,0.14107235,1,1,1,0.634308804,0.645814169,0.620572654,0.01562,0.00027,0,0,0.0076,0.18065,0,0,0.45913,0.40957,0,0.05297,0.134887759,0.110784922,58.7173107
1Runner_1_p1_2160_30fps_c.yuv,0.842725,0.9975,0.6275,0.717279493,0.910206245,0.535161874,0.331605241,0.3326011,0.3301235,0.283655325,0.30986947,0.27356626,0.136978184,0.14026044,0.12965863,1,1,1,0.598317518,0.646675203,0.562140869,0.06756,0.00024,0,0,0.01285,0.11754,0,0,0.46191,0.405,0.00464,0.01422,0.144950517,0.104830565,60.15420952
1Runner_1_p1_2160_30fps_d.yuv,0.905183333,0.99875,0.63,0.821603269,1,0.647281201,0.331429225,0.3325228,0.3287995,0.301946522,0.33587596,0.29139605,0.142609355,0.14357269,0.14161167,0.99938024,1,0.983757734,0.009024751,0.064250465,-0.017124672,0.01847,0.00026,0,0,0.00119,0.07807,0,0.06704,0.45466,0.41057,0.00355,0.10357,0.162636446,0.103136292,53.49723842
1Runner_1_p1_2160_30fps_f.yuv,0.896975,0.9975,0.6275,0.811525684,1,0.611151464,0.331443766,0.3325792,0.3294577,0.293775611,0.33571563,0.28072422,0.139655584,0.1426346,0.13618563,1,1,1,0.517448465,0.609213213,0.411733342,0.0483,0.00025,0,0,0.00466,0.12133,0,0,0.45876,0.40905,0.00393,0.03191,0.160667074,0.11029411,60.14800295
1Runner_1_p1_2160_30fps_i.yuv,0.782927852,0.9975,0.625,0.838154674,1,0.596968047,0.331179375,0.3325634,0.3291261,0.299947767,0.33580765,0.2884678,0.14252317,0.14338655,0.14144446,0.219642635,0.900572854,0,0.996245028,1.53591,0.202479499,0.01562,0.00027,0,0,0.22175,0.08542,0,0,0.45252,0.41086,1.3572,0.11746,0.159298536,0.113304301,42.03181737
1Runner_1_p1_2160_30fps_j.yuv,0.882746011,0.9975,0.625,0.838738616,1,0.649135905,0.331368927,0.3325191,0.3289114,0.299031409,0.33523885,0.28791252,0.142630614,0.14342162,0.14156912,0.839122575,1,0,0.206146239,1.535979692,-0.045334103,0.05692,0.00027,0,0,0.04476,0.08091,0,0,0.4591,0.41064,0.31993,0.10511,0.161917018,0.085014799,36.74137067
1Runner_1_p1_2160_30fps_o.yuv,0.910366667,0.99875,0.625,0.819193265,1,0.651645896,0.331401686,0.3325671,0.3290144,0.298969997,0.33481167,0.28885378,0.142657333,0.1434955,0.14175535,0.999193415,1,0.983204903,-0.033685332,0.03081693,-0.068827905,0.01562,0.00027,0,0,0.00124,0.07975,0,0,0.46419,0.41088,0.00633,0.09908,0.162867423,0.112781996,64.16970285
1Runner_1_p2_2160_30fps_a.yuv,0.8976,0.9975,0.625,0.780793583,0.966436345,0.608420757,0.330798314,0.332035,0.3285344,0.310386573,0.34277954,0.29385906,0.141673054,0.1426723,0.13936396,1,1,1,0.632928728,0.644012577,0.61997299,0.01562,0.00027,0,0,0.00477,0.20978,0,0,0.46253,0.4399,0,0.04967,0.143454146,0.136355942,58.2300764
1Runner_1_p2_2160_30fps_c.yuv,0.876875,0.97375,0.66375,0.832458336,1,0.656597424,0.33093892,0.3319234,0.3292317,0.299759566,0.33756005,0.27641683,0.138185258,0.14045966,0.12962424,1,1,1,0.57126657,0.678056645,0.542514496,0.05744,0.00024,0,0,0.00794,0.13779,0,0,0.46299,0.4361,0.00533,0.01739,0.162276655,0.133378108,30.02584848
1Runner_1_p2_2160_30fps_d.yuv,0.903575,0.99625,0.625,0.921074732,1,0.714789077,0.330828962,0.3319217,0.3285432,0.312768072,0.34295704,0.297593,0.141922153,0.14304985,0.13902395,0.999953936,1,0.997348688,0.016761979,0.039536818,0.001414495,0.01776,0.00025,0,0,0.00066,0.0902,0,0.11732,0.45194,0.44021,0.00443,0.10016,0.171763162,0.118876757,47.16069323
1Runner_1_p2_2160_30fps_f.yuv,0.91185,0.99875,0.625,0.927998713,1,0.726260755,0.330733611,0.3318625,0.3285266,0.308545503,0.34219567,0.28773593,0.139893394,0.14181938,0.1364803,1,1,1,0.479754048,0.54425113,0.427106594,0.02769,0.00025,0,0,0.00232,0.15134,0,0,0.46062,0.44017,0.0045,0.0229,0.174982108,0.136784947,54.22573146
