video,avg_color,max_color,min_color,avg_ltp,max_ltp,min_ltp,avg_brisque,max_brisque,min_brisque,avg_flickering,avg_blockiness,avg_blockloss,avg_blur,avg_exposure,avg_contrast,avg_interlace,avg_noise,avg_si,avg_ti,mos
A001.mp4,0.257448144,0.291839011,0.203572844,0.132887274,0.13409505,0.1311335,0.423799554,0.565697163,0.360557646,0.02561,0.00028,0.01301,0.06214,0.50018,0.36189,0.00623,0.04554,0.314351594,0.084158334,80.232
A002.mp4,0.325287611,0.385277249,0.24084938,0.129911578,0.13225329,0.12733895,0.561990261,0.683951922,0.407955778,0.05274,0.00027,0.00338,0.12228,0.48446,0.24254,0.00272,0.01391,0.159777585,0.080074138,57.3005
A003.mp4,0.307942628,0.346401031,0.268106241,0.133311715,0.13437397,0.13197197,0.51198263,0.557225118,0.469536646,0.04532,0.00026,0.00825,0.06942,0.49704,0.41336,0.00634,0.01562,0.186556822,0.079427855,78.1558
A004.mp4,0.312908239,0.387419094,0.246056893,0.131438982,0.13453331,0.12878152,0.583218048,0.680044904,0.490191084,0.06377,0.00028,0.00447,0.05083,0.47582,0.48721,0.005,0.04493,0.328399912,0.120613247,59.3179
A005.mp4,0.23876436,0.258686706,0.220228786,0.131477794,0.13289885,0.12996882,0.602270365,0.655520534,0.493636273,0.05225,0.00023,0.01725,0.11972,0.49518,0.37473,0.00408,0.02004,0.152282583,0.052998035,47.1778
A006.mp4,0.331697485,0.348159578,0.313705682,0.132327501,0.13337891,0.13120785,0.483554572,0.51070559,0.410027798,0.05052,0.00027,0.01395,0.05329,0.51878,0.40713,0.00533,0.01817,0.283973728,0.03917064,84.6517
A007.mp4,0.299605242,0.317459114,0.271275796,0.135016852,0.13578399,0.13420676,0.542863626,0.722190608,0.337455382,0.01789,0.00028,0.00163,0.09726,0.53373,0.34387,0.00073,0.18903,0.161967351,0.059678535,50.8675
A008.mp4,0.345526951,0.397832811,0.282367365,0.130295824,0.13352625,0.12550164,0.512243074,0.854550803,0.114912416,0.05019,0.00023,0.00185,0.09465,0.49767,0.46403,0.00136,0.0217,0.181438166,0.115049657,46.8902
A009.mp4,0.316399993,0.375487311,0.259189441,0.132587808,0.13449082,0.12702748,0.674785326,0.743618517,0.548621717,0.0311,0.00027,0.00066,0.04818,0.52459,0.45908,0.00646,0.01604,0.291841944,0.077334983,80.7925
A010.mp4,0.285159808,0.32095769,0.259868653,0.128798521,0.13025356,0.12720635,0.539175784,0.597607742,0.486268399,0.04375,0.00024,0.02001,0.09962,0.55914,0.30391,0.00147,0.01581,0.085853837,0.013910665,31.2785
A011.mp4,0.340685715,0.368297055,0.312982972,0.132312954,0.13405325,0.126691,0.491876045,0.609974797,0.43259144,0.06262,0.00029,0.00887,0.04968,0.51382,0.50384,0.01247,0.01584,0.352809954,0.10237077,87.2287
A012.mp4,0.314653521,0.377560516,0.243606886,0.133839651,0.13557394,0.12479167,0.397947372,0.629161651,0.223435661,0.04054,0.00026,0.00955,0.09755,0.50907,0.38235,0.003,0.0241,0.20775847,0.108837883,47.7826
A013.mp4,0.272370226,0.279035759,0.265344973,0.126482644,0.12800918,0.12452954,0.557430855,0.593812348,0.510705749,0.08395,0.00024,0.00474,0.07189,0.50579,0.36551,0.00135,0.01171,0.16218343,0.018366333,83.4083
A014.mp4,0.251065501,0.303746342,0.197333922,0.112088603,0.12052152,0.10484786,0.613229993,0.777037578,0.41458388,0.07656,0.00022,0.00755,0.0759,0.4949,0.30689,0.00376,0.00597,0.246578382,0.087754529,69.9652
A015.mp4,0.292665435,0.353604312,0.247981227,0.126132061,0.12834601,0.12244072,0.489757448,0.540809892,0.44025619,0.08529,0.00027,0.00941,0.05591,0.4677,0.49394,0.00981,0.01104,0.266018507,0.081094305,78.3957
A016.mp4,0.282505306,0.447981988,0.120538442,0.116320828,0.12933594,0.08735334,0.493349715,0.621966799,0.43152152,0.06392,0.00024,0.02683,0.07932,0.45659,0.25047,0.00061,0.01491,0.113869958,0.047246124,37.8421
A017.mp4,0.215704071,0.289160573,0.162968517,0.111857519,0.11733895,0.10488795,0.584781965,0.639024807,0.48533962,0.08961,0.00025,0.00354,0.05067,0.4749,0.26057,0.00372,0.00599,0.127244816,0.040907361,65.4778
